Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
4,100_0004_0090.JPG,-38.74503960,143.67376088,99.700,0.012,0.010,0.024
4,100_0004_0091.JPG,-38.74529994,143.67382596,99.656,0.015,0.011,0.028
4,100_0004_0092.JPG,-38.74540347,143.67385725,99.443,0.015,0.012,0.030
4,100_0004_0093.JPG,-38.74522589,143.67413709,98.792,0.014,0.012,0.030
4,100_0004_0094.JPG,-38.74505905,143.67441496,99.361,0.013,0.011,0.026
4,100_0004_0095.JPG,-38.74502583,143.67446241,99.526,0.012,0.010,0.023
4,100_0004_0096.JPG,-38.74475111,143.67437381,98.424,0.009,0.007,0.018
4,100_0004_0097.JPG,-38.74447929,143.67432075,98.544,0.010,0.008,0.017
4,100_0004_0098.JPG,-38.74421577,143.67425493,99.044,0.011,0.009,0.021
4,100_0004_0099.JPG,-38.74395456,143.67418979,99.377,0.013,0.010,0.025
4,100_0004_0100.JPG,-38.74369019,143.67412323,99.929,0.015,0.011,0.029
4,100_0004_0101.JPG,-38.74342739,143.67405693,100.309,0.015,0.012,0.031
4,100_0004_0102.JPG,-38.74327283,143.67402389,100.473,0.015,0.012,0.031
4,100_0004_0103.JPG,-38.74304328,143.67422981,98.858,0.013,0.011,0.026
4,100_0004_0104.JPG,-38.74282815,143.67444678,99.251,0.011,0.008,0.022
4,100_0004_0105.JPG,-38.74271093,143.67458121,99.999,0.010,0.008,0.018
4,100_0004_0106.JPG,-38.74300403,143.67465124,99.158,0.010,0.008,0.019
4,100_0004_0107.JPG,-38.74326605,143.67471775,99.260,0.012,0.009,0.023
4,100_0004_0108.JPG,-38.74352771,143.67478364,99.265,0.013,0.011,0.027
4,100_0004_0109.JPG,-38.74379183,143.67484839,99.345,0.018,0.012,0.032
4,100_0004_0110.JPG,-38.74405474,143.67491277,99.409,0.015,0.012,0.031
4,100_0004_0111.JPG,-38.74431106,143.67497829,99.651,0.014,0.012,0.030
4,100_0004_0112.JPG,-38.74435038,143.67499064,99.351,0.013,0.011,0.028
4,100_0004_0113.JPG,-38.74410450,143.67517645,98.654,0.011,0.009,0.021
4,100_0004_0114.JPG,-38.74387415,143.67536542,99.140,0.010,0.007,0.017
4,100_0004_0115.JPG,-38.74366947,143.67552661,99.452,0.010,0.008,0.018
4,100_0004_0116.JPG,-38.74339888,143.67543168,98.454,0.012,0.010,0.024
4,100_0004_0117.JPG,-38.74312313,143.67538252,98.575,0.014,0.011,0.028
4,100_0004_0118.JPG,-38.74285924,143.67531846,99.471,0.015,0.012,0.030
4,100_0004_0119.JPG,-38.74259847,143.67525157,100.041,0.015,0.012,0.031
4,100_0004_0120.JPG,-38.74233422,143.67518716,100.386,0.014,0.012,0.029
4,100_0004_0121.JPG,-38.74211883,143.67513782,100.316,0.012,0.010,0.024
4,100_0004_0122.JPG,-38.74188979,143.67534279,98.782,0.010,0.008,0.017
4,100_0004_0123.JPG,-38.74167001,143.67555103,99.164,0.010,0.008,0.017
4,100_0004_0124.JPG,-38.74154054,143.67569127,99.748,0.011,0.009,0.021
4,100_0004_0125.JPG,-38.74183073,143.67576066,99.218,0.013,0.011,0.027
4,100_0004_0126.JPG,-38.74209184,143.67582748,99.384,0.014,0.012,0.030
4,100_0004_0127.JPG,-38.74235633,143.67589278,99.361,0.015,0.012,0.031
4,100_0004_0128.JPG,-38.74262096,143.67595755,99.346,0.014,0.012,0.029
4,100_0004_0129.JPG,-38.74288478,143.67602350,99.332,0.013,0.011,0.026
4,100_0004_0130.JPG,-38.74299292,143.67605454,99.216,0.011,0.009,0.022
4,100_0004_0131.JPG,-38.74274475,143.67623559,98.454,0.010,0.008,0.017
4,100_0004_0132.JPG,-38.74258849,143.67636967,98.889,0.010,0.007,0.018
4,100_0004_0133.JPG,-38.74238510,143.67658993,99.674,0.012,0.010,0.023
4,100_0004_0134.JPG,-38.74236394,143.67660232,99.785,0.012,0.010,0.025
4,100_0004_0135.JPG,-38.74209153,143.67651045,98.988,0.014,0.012,0.029
4,100_0004_0136.JPG,-38.74181811,143.67645893,99.266,0.015,0.012,0.031
4,100_0004_0137.JPG,-38.74155482,143.67639322,99.720,0.014,0.012,0.030
4,100_0004_0138.JPG,-38.74129338,143.67632753,100.045,0.013,0.011,0.027
4,100_0004_0139.JPG,-38.74103239,143.67626230,100.235,0.012,0.010,0.023
4,100_0004_0140.JPG,-38.74093830,143.67624428,100.290,0.011,0.008,0.019
4,100_0004_0141.JPG,-38.74070524,143.67644623,99.013,0.009,0.008,0.017
4,100_0004_0142.JPG,-38.74048709,143.67665869,99.189,0.011,0.009,0.021
4,100_0004_0143.JPG,-38.74035797,143.67679654,99.446,0.013,0.011,0.026
4,100_0004_0144.JPG,-38.74064946,143.67686520,98.369,0.015,0.012,0.030
4,100_0004_0145.JPG,-38.74091387,143.67693061,98.761,0.015,0.012,0.031
4,100_0004_0146.JPG,-38.74117559,143.67699545,98.981,0.014,0.012,0.029
4,100_0004_0147.JPG,-38.74143944,143.67706103,99.262,0.013,0.010,0.026
4,100_0004_0148.JPG,-38.74170053,143.67712588,99.527,0.011,0.009,0.022
4,100_0004_0149.JPG,-38.74180814,143.67715877,99.255,0.010,0.008,0.018
