=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
2,100_0002_0009.JPG,-38.75090961,143.6715051,99.704,,,,,0.053,,,,0.02,0.017
2,100_0002_0010.JPG,-38.75119699,143.6714168,99.226,,,,,0.039,,,,0.015,0.012
2,100_0002_0011.JPG,-38.75140701,143.6713468,99.331,,,,,0.026,,,,0.01,0.009
2,100_0002_0012.JPG,-38.75117066,143.6711146,99.157,,,,,0.101,,,,0.038,0.034
2,100_0002_0013.JPG,-38.75095613,143.6709072,99.771,,,,,0.09,,,,0.034,0.03
2,100_0002_0014.JPG,-38.75074417,143.6707004,99.859,,,,,0.081,,,,0.031,0.027
2,100_0002_0015.JPG,-38.75053081,143.6704917,99.523,,,,,0.068,,,,0.026,0.023
2,100_0002_0016.JPG,-38.75031592,143.6702855,99.618,,,,,0.058,,,,0.022,0.02
2,100_0002_0017.JPG,-38.75021558,143.6701801,99.764,,,,,0.051,,,,0.019,0.016
2,100_0002_0018.JPG,-38.75050699,143.670079,99.092,,,,,0.036,,,,0.013,0.012
2,100_0002_0019.JPG,-38.75070877,143.6700141,99.153,,,,,0.033,,,,0.016,0.011
2,100_0002_0020.JPG,-38.75094077,143.6702397,98.633,,,,,0.023,,,,0.01,0.007
2,100_0002_0021.JPG,-38.75115455,143.6704516,99.146,,,,,0.028,,,,0.011,0.009
2,100_0002_0022.JPG,-38.75136642,143.6706591,99.531,,,,,0.034,,,,0.013,0.011
2,100_0002_0023.JPG,-38.75157931,143.6708672,99.673,,,,,0.04,,,,0.015,0.013
2,100_0002_0024.JPG,-38.75179243,143.6710749,99.686,,,,,0.04,,,,0.016,0.013
2,100_0002_0025.JPG,-38.75192695,143.671202,99.909,,,,,0.036,,,,0.015,0.013
2,100_0002_0026.JPG,-38.75221112,143.6711137,99.266,,,,,0.03,,,,0.012,0.011
2,100_0002_0027.JPG,-38.75227834,143.6710966,99.217,,,,,0.028,,,,0.012,0.01
2,100_0002_0028.JPG,-38.75250366,143.6711174,99.092,,,,,0.022,,,,0.011,0.007
2,100_0002_0029.JPG,-38.75226715,143.6708855,99.041,,,,,0.023,,,,0.01,0.008
2,100_0002_0030.JPG,-38.75205538,143.6706793,99.133,,,,,0.028,,,,0.012,0.01
2,100_0002_0031.JPG,-38.7518418,143.6704732,99.448,,,,,0.033,,,,0.014,0.012
2,100_0002_0032.JPG,-38.75162883,143.6702659,99.581,,,,,0.036,,,,0.015,0.013
