Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
3,100_0010_0065.JPG,-38.74891976,143.67187932,101.219,0.015,0.015,0.051
3,100_0010_0066.JPG,-38.74913025,143.67180736,101.986,0.019,0.018,0.063
3,100_0010_0067.JPG,-38.74926168,143.67148375,101.924,0.021,0.021,0.069
3,100_0010_0068.JPG,-38.74937326,143.67116745,102.482,0.025,0.022,0.069
3,100_0010_0069.JPG,-38.74948533,143.67085670,102.969,0.017,0.016,0.055
3,100_0010_0070.JPG,-38.74959929,143.67055258,103.352,0.016,0.016,0.046
3,100_0010_0071.JPG,-38.74965085,143.67041134,103.368,0.010,0.010,0.026
3,100_0010_0072.JPG,-38.74993145,143.67036463,102.149,0.012,0.012,0.039
3,100_0010_0073.JPG,-38.75013453,143.67029374,102.791,0.014,0.012,0.041
3,100_0010_0074.JPG,-38.75000622,143.67063847,102.531,0.018,0.015,0.051
3,100_0010_0075.JPG,-38.74989255,143.67094504,102.517,0.026,0.023,0.072
3,100_0010_0076.JPG,-38.74977659,143.67125875,102.341,0.018,0.013,0.048
3,100_0010_0077.JPG,-38.74966334,143.67156762,102.064,0.015,0.011,0.041
3,100_0010_0078.JPG,-38.74963258,143.67166384,101.663,0.042,0.034,0.124
3,100_0010_0079.JPG,-38.74991914,143.67159166,101.609,0.011,0.011,0.031
3,100_0010_0080.JPG,-38.75013114,143.67150873,102.470,0.014,0.012,0.043
3,100_0010_0081.JPG,-38.75025687,143.67118430,101.763,0.019,0.018,0.064
3,100_0010_0082.JPG,-38.75031338,143.67099834,101.747,0.023,0.025,0.079
3,100_0010_0083.JPG,-38.75025966,143.67064928,100.943,0.053,0.088,0.182
3,100_0010_0084.JPG,-38.75024650,143.67057374,101.024,0.024,0.023,0.080
3,100_0010_0085.JPG,-38.74998380,143.67042097,100.871,0.019,0.018,0.058
3,100_0010_0086.JPG,-38.74987344,143.67035490,101.219,0.019,0.021,0.055
3,100_0010_0087.JPG,-38.74959125,143.67043210,101.168,0.011,0.011,0.036
3,100_0010_0088.JPG,-38.74933041,143.67050161,101.546,0.049,0.047,0.165
3,100_0010_0089.JPG,-38.74924162,143.67053297,101.698,0.041,0.034,0.116
3,100_0010_0090.JPG,-38.74951028,143.67069874,101.554,0.036,0.035,0.120
3,100_0010_0091.JPG,-38.74974877,143.67084465,101.689,0.034,0.035,0.107
3,100_0010_0092.JPG,-38.74999175,143.67099167,102.154,0.024,0.018,0.066
3,100_0010_0093.JPG,-38.75023017,143.67113829,102.157,0.021,0.019,0.068
3,100_0010_0094.JPG,-38.75033503,143.67120857,102.371,0.015,0.012,0.041
3,100_0010_0095.JPG,-38.75009849,143.67144419,102.239,0.010,0.008,0.027
3,100_0010_0096.JPG,-38.74997785,143.67155613,102.023,0.010,0.008,0.026
3,100_0010_0097.JPG,-38.74971334,143.67139483,101.672,0.013,0.010,0.034
3,100_0010_0098.JPG,-38.74947535,143.67124750,101.617,0.018,0.017,0.055
3,100_0010_0099.JPG,-38.74923254,143.67109750,102.034,0.018,0.014,0.047
3,100_0010_0100.JPG,-38.74899102,143.67095002,102.473,0.026,0.023,0.065
3,100_0010_0101.JPG,-38.74875072,143.67079971,102.552,0.017,0.013,0.042
3,100_0010_0102.JPG,-38.74857916,143.67069656,102.780,0.016,0.015,0.052
3,100_0010_0103.JPG,-38.74829739,143.67078194,101.638,0.011,0.011,0.034
3,100_0010_0104.JPG,-38.74803763,143.67085356,101.674,0.010,0.008,0.026
3,100_0010_0105.JPG,-38.74794921,143.67088324,101.626,0.011,0.008,0.025
3,100_0010_0106.JPG,-38.74821305,143.67104621,101.482,0.016,0.013,0.040
3,100_0010_0107.JPG,-38.74845264,143.67119294,101.684,0.017,0.015,0.045
3,100_0010_0108.JPG,-38.74869498,143.67134039,101.927,0.020,0.019,0.055
3,100_0010_0109.JPG,-38.74893601,143.67148807,102.466,0.017,0.014,0.041
3,100_0010_0110.JPG,-38.74917914,143.67163754,102.604,0.017,0.016,0.047
3,100_0010_0111.JPG,-38.74934306,143.67174196,102.465,0.012,0.010,0.031
3,100_0010_0112.JPG,-38.74905213,143.67183087,101.999,0.011,0.010,0.028
3,100_0010_0113.JPG,-38.74879156,143.67190545,102.321,0.011,0.009,0.027
3,100_0010_0114.JPG,-38.74870432,143.67192507,102.443,0.014,0.013,0.041
3,100_0010_0115.JPG,-38.74844531,143.67177291,101.693,0.018,0.017,0.052
3,100_0010_0116.JPG,-38.74820497,143.67161604,101.890,0.018,0.014,0.045
3,100_0010_0117.JPG,-38.74796164,143.67146437,102.237,0.020,0.019,0.060
3,100_0010_0118.JPG,-38.74772098,143.67131647,102.831,0.018,0.017,0.056
